x,y,z,h,wx,wy,wz,a,b,xL,xU,yL,yU,zL,zU,fitQuality,readout,dataType,chn,fov,locusX,locusY,tableOrder,hybe,chnNum,idx,panel,s,fs,fsr,xshift,yshift,zshift,shiftScore,fid_x,fid_y,fid_z,fid_h
719.929216374958,799.821164429816,4503.56584899001,2593.74189406597,127.001583567249,127.001583567249,374.999999999997,1456.66246553545,1240.82387580421,NaN,NaN,NaN,NaN,NaN,NaN,8.11024946933599,3,H,647,11,87372,180036,3,3,1,1,3,102,6543,21428334,67.5,81,-825,1,1080,1188,5250,767.917542030903
432.000000000621,1042.93743640651,5400,1540.62886303647,136.169002238699,136.169002238699,326.514093272878,1071.19204516846,1043.39792202971,NaN,NaN,NaN,NaN,NaN,NaN,19.8968761922705,4,H,647,11,87372,180036,4,4,1,1,4,102,6543,21434882,108,162,-412.5,1,1080,1188,5250,767.917542030903
432.000000000905,1013.96985214886,4950,1427.17056009769,109.628447948028,109.628447948028,328.630381314324,837.899634405426,1129.74638911991,NaN,NaN,NaN,NaN,NaN,NaN,11.372315708892,5,H,647,11,87372,180036,5,5,1,1,5,102,6543,21441431,81,0,-562.5,1,1080,1188,5250,767.917542030903
517.19136293919,889.564502229301,4848.24902452742,1914.04750529062,115.872939786134,115.872939786134,374.999999999997,1569.24109030731,934.533313192402,NaN,NaN,NaN,NaN,NaN,NaN,6.46927068934766,6,H,647,11,87372,180036,6,6,1,1,6,102,6543,21447981,121.5,0,-525,1,1080,1188,5250,767.917542030903
432.000000162452,870.483234291244,5100,2013.94692997327,118.71332012455,118.71332012455,318.420694642323,2438.82907217978,1070.29352124784,NaN,NaN,NaN,NaN,NaN,NaN,8.12770241732856,7,H,647,11,87372,180036,7,7,1,1,7,102,6543,21454532,121.5,54,-562.5,1,1080,1188,5250,767.917542030903
490.101976407364,928.856033096385,4950,2233.91471305978,115.33762282065,115.33762282065,347.720439755297,2184.16608407141,1189.12721091123,NaN,NaN,NaN,NaN,NaN,NaN,5.98982033995107,8,H,647,11,87372,180036,8,8,1,1,8,102,6543,21461084,121.5,108,-600,1,1080,1188,5250,767.917542030903
432.000000000002,844.906622018638,5400,1566.75849786223,118.151244366082,118.151244366082,344.941971375529,1185.90882141528,1119.26035334148,NaN,NaN,NaN,NaN,NaN,NaN,12.5396141994844,9,H,647,11,87372,180036,9,9,1,1,9,102,6543,21467637,148.5,0,-262.5,1,1080,1188,5250,767.917542030903
432.000000000009,904.999937943283,6000,916.655177595943,135.438308789183,135.438308789183,341.424772796086,651.275202976489,614.953198726118,NaN,NaN,NaN,NaN,NaN,NaN,19.1912628572087,11,H,647,11,87372,180036,11,11,1,1,11,102,6543,21480746,135,135,375,1,1080,1188,5250,767.917542030903
502.874683862293,957.314528289791,5250,1331.00511496086,121.159360568257,121.159360568257,338.251821473584,802.384534860859,907.184615139457,NaN,NaN,NaN,NaN,NaN,NaN,13.4878176586623,12,H,647,11,87372,180036,12,12,1,1,12,102,6543,21487302,216,54,-150,1,1080,1188,5250,767.917542030903
772.89281076285,1092.72720302651,5535.70611146008,2383.0916982771,109.745644565249,109.745644565249,374.999999999997,1723.92526504731,867.515303973209,NaN,NaN,NaN,NaN,NaN,NaN,5.50944601805041,13,H,647,11,87372,180036,13,13,1,1,13,102,6543,21493859,175.5,27,225,1,1080,1188,5250,767.917542030903
718.337854443171,1043.09577946895,5613.36085720972,3540.00444977622,114.379080040033,114.379080040033,374.999999999997,3062.67712380077,918.685780852586,NaN,NaN,NaN,NaN,NaN,NaN,4.97510746251114,14,H,647,11,87372,180036,14,14,1,1,14,102,6543,21500417,121.5,27,337.5,1,1080,1188,5250,767.917542030903
748.664488286115,964.032756895579,5687.29550842092,2916.14102740801,111.173805602041,111.173805602041,374.999999999997,2275.49116287052,838.22339070001,NaN,NaN,NaN,NaN,NaN,NaN,5.34548577322906,15,H,647,11,87372,180036,15,15,1,1,15,102,6543,21506976,121.5,54,337.5,1,1080,1188,5250,767.917542030903
851.57832461623,1010.89206659567,5691.3900691229,3115.05789447923,116.137710135652,116.137710135652,374.999999999997,2357.4813434719,1122.95839381636,NaN,NaN,NaN,NaN,NaN,NaN,5.8114526142901,16,H,647,11,87372,180036,16,16,1,1,16,102,6543,21513536,108,81,412.5,1,1080,1188,5250,767.917542030903
1004.21080657961,1087.48046557112,5108.76926112171,3862.7673315313,111.517755743895,111.517755743895,374.999999999997,2598.24249722692,1702.29274258179,NaN,NaN,NaN,NaN,NaN,NaN,5.22171669401491,17,H,647,11,87372,180036,17,17,1,1,17,102,6543,21520097,162,108,-225,1,1080,1188,5250,767.917542030903
1326.98457814842,1476.74257472818,4220.50748700864,2229.55691711678,111.652151125651,111.652151125651,374.999999999997,1698.26894998113,814.239761916789,NaN,NaN,NaN,NaN,NaN,NaN,5.5185109690182,21,H,647,11,87372,180036,21,21,1,1,21,102,6543,21546351,175.5,189,-637.5,1,1080,1188,5250,767.917542030903
1050.26835861215,1063.31111941967,4610.96927790677,1545.29475823753,114.36209958967,114.36209958967,374.999999999997,1066.3051030384,589.797065058475,NaN,NaN,NaN,NaN,NaN,NaN,8.39007687917864,22,H,647,11,87372,180036,22,22,1,1,22,102,6543,21552917,202.5,162,-300,1,1080,1188,5250,767.917542030903
878.096178525874,1089.74285726618,4622.98732011215,1682.20062142795,128.308228032584,128.308228032584,374.999999999997,1186.03565292469,604.403541972943,NaN,NaN,NaN,NaN,NaN,NaN,12.512540920937,23,H,647,11,87372,180036,23,23,1,1,23,102,6543,21559484,270,108,-487.5,1,1080,1188,5250,767.917542030903
780.343245122872,1016.58459462485,5270.11510400183,1806.91390127881,146.779352289665,146.779352289665,374.999999999997,584.294623265746,1212.57222003538,NaN,NaN,NaN,NaN,NaN,NaN,21.096822509277,24,H,647,11,87372,180036,24,24,1,1,24,102,6543,21566052,243,243,-150,1,1080,1188,5250,767.917542030903
943.040100224563,825.985032406626,4442.01955453398,3324.38768193717,123.058876313758,123.058876313758,374.999999999997,2280.82208525219,1306.88262242587,NaN,NaN,NaN,NaN,NaN,NaN,6.43654559799472,25,H,647,11,87372,180036,25,25,1,1,25,102,6543,21572621,243,108,-825,1,1080,1188,5250,767.917542030903
754.90533119736,962.145486844495,5067.67320368912,1888.72369449462,160.996745575218,160.996745575218,374.999999999997,594.647879052507,1309.42556604726,NaN,NaN,NaN,NaN,NaN,NaN,20.9371988004056,26,H,647,11,87372,180036,26,26,1,1,26,102,6543,21579191,270,81,-487.5,1,1080,1188,5250,767.917542030903
